Facility,Health authority,Regulation/Legislation,Street address,City/postal code,Accreditation status,Accreditation expiry date,Phone number,Operator (name),Phone number of complaint contact,Opened,Current language(s) spoken by staff,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Case mix index Facility,Case mix index B.C.
Cherington Place,Fraser Health,Community Care & Assisted Living Act,13453 111A Ave,Surrey V3R2C5,Unknown,not available,(604) 581-2885,Belvedere Seniors Living,(604) 581-2885,1960,"Arabic, Cantonese, Czech, French, German, English, Hindi, Mandarin, Punjabi, Spanish, Tagalog, Urdu, Korean",0,75,75,33,21,0,0.56,0.58
Cottage and Worthington Pavilions - MSA Hospital,Fraser Health,Hospital Act,33457 Cottage Lane,Abbotsford V2S0B3,Unknown,not available,(604) 870-7999,Fraser Health,Cottage: (604) 807-7967 / Worthington: (604) 870-7996,n/a,"Spanish, Italian, Arabic, French, Korean, Thai, Mandarin, Dutch, Afrikaans, Punjabi, Polish, Japanese, Filipino, German, Swedish, Portuguese",0,119,119,11,6,24,0.58,0.58
Crescent Gardens,Fraser Health,Community Care & Assisted Living Act,1222 King George Boulevard,Surrey V4A9W6,Unknown,not available,(604) 541-8861,Chartwell Retirement Residences,(604) 541-6712,1997,English,22,53,75,69,3,0,0.54,0.58
Czorny Alzheimer Centre,Fraser Health,Hospital Act,16850 66th Avenue,Surrey V3S5M1,Unknown,not available,(604) 575-6700,Fraser Health,(604) 575-6700,2007,"English, Cantonese, Mandarin, French",0,72,72,72,0,0,0.53,0.58
Delta View Habilitation Centre,Fraser Health,Hospital Act,9341 Burns Drive,Delta V4K3N3,Accredited,October 2019,(604) 596-8842,The Good Samaritan Society,(604) 596-8842,1991,"English, Spanish, Punjabi, Hindi, Italian, Arabic, Gujarati, Korean, Mandarin, Cantonese, Tagalog, Filipino",9,71,80,72,4,0,,0.58
Dania Home,Fraser Health,Community Care & Assisted Living Act,4175 Norland Avenue,Burnaby V5G3S7,Accredited,November 2022,(604) 299-2414,Dania Home Society,(604) 292-8130,2015,"English, Punjabi, Hindi, Nepali, Japanese, Cantonese, Mandarin, Filipino, Swahili",0,102,102,102,0,0,0.61,0.58
Delta View Life Enrichment Centre,Fraser Health,Hospital Act,9321 Burns Drive,Delta V4K3N3,Accredited,October 2019,(604) 501-6700,The Good Samaritan Society,(604) 501-6700,2004,"English, Punjabi, Cantonese, Filipino, Tagalog, Italian, Gujarati, Spanish, Hindi, German",62,150,212,172,20,0,0.61,0.58
Dufferin Care Centre,Fraser Health,Hospital Act,1131 Dufferin St,Coquitlam V3B7X5,Accredited,February 2022,(604) 552-1166,Retirement Concepts,n/a,n/a,n/a,25,128,153,0,0,0,0.57,0.58
Eagle Ridge Manor - Port Moody,Fraser Health,Hospital Act,475 Guildford Way,Port Moody V3H3W9,Unknown,not available,(604) 469-3211,Fraser Health,(604) 469-3213,n/a,"English, Mandarin, French, Punjabi, Cantonese",0,75,75,39,18,0,0.63,0.58
Eden Care Centre,Fraser Health,Community Care & Assisted Living Act,9100 Charles Street,Chilliwack V2P5K6,Not Accredited,not applicable,(604) 792-8166,First Canadian Management Corporation,(604) 792-8166,1973,"English, Dutch, German, Czech, Hungarian, Punjabi, Hindi, Tagalog",0,89,89,89,0,0,0.48,0.58
Elim Village - The Harrison / Harrison West,Fraser Health,Community Care & Assisted Living Act,9025 160 Street,Surrey V4N2X7,Accredited,October 2021,(604) 587-8999,Elim Christian Care Society,(604) 587-8999,2009 / 2016,"English, Dutch, German, Spanish, French, Thai, Italian, Mandarin, Punjabi, Russian, Polish, Tagalog, Chinese",18,176,194,181,6,0,0.61,0.58
Evergreen - The Terraces / The Pointe,Fraser Health,Community Care & Assisted Living Act,1550 Oxford St,White Rock V4B3R5,Accredited,December 2022,(604) 536-3344,Baptist Housing,(604) 541-3813,1996,"Tagalog, Punjabi, Japanese, Arabic, Spanish, Mandarin, Hindi, Cantonese, Mandarin, French, Polish, Farsi",3,249,252,252,0,0,0.56,0.58
Fellburn Care Centre,Fraser Health,Hospital Act,6050 Hastings St.,Burnaby V5B1R6,Accredited,October 2022,(604) 412-6503,Fraser Health,(604) 412-6504,1964,"English, Cantonese, Mandarin, Punjabi, Tagalog, Spanish, Polish, Hindi, Italian",0,81,81,10,16,10,0.65,0.58
Fair Haven - Burnaby,Fraser Health,Community Care & Assisted Living Act,7557 Sussex Ave.,Burnaby V5J3V6,Accredited,November 2022,(604) 435-0525,Fair Haven Homes Society,(604) 435-0525x304 or x320,1994,n/a,0,100,100,100,0,0,0.57,0.58
Fleetwood Place,Fraser Health,Community Care & Assisted Living Act,16011 83rd Ave,Surrey V4N0N2,Accredited,May 2021,(604) 590-6860,Fleetwood Place Holdings Ltd.,(604) 590-6860 x1108,2004,"English, French, Spanish, Tagalog, Punjabi, Korean, Mandarin, Cantonese",13,98,111,108,0,0,0.58,0.58
Foyer Maillard,Fraser Health,Community Care & Assisted Living Act,1010 Alderson Avenue,Coquitlam V3K1W1,Not Accredited,not applicable,(604) 937-5578,Societe Du Foyer Maillard,(604) 937-5589 ext. 106,2016,"English, French, Spanish, Hindi, Romanian, Italian, Farsi, Korean, Mandarin, Cantonese, Tagalog, Filipino",0,125,125,125,0,0,0.56,0.58
Fort Langley Seniors Community,Fraser Health,Hospital Act,8838 Glover Road,Langley V1M2R4,Unknown,not available,(604) 888-0711,Park Place Seniors Living Inc.,(604) 888-0711x121,2008,"English, Hindi, Polish, French",5,91,96,68,14,0,0.60,0.58
Fraser Hope Lodge,Fraser Health,Hospital Act,1275-7th Avenue,Hope V0X1L4,Unknown,not available,(604) 860-7706,Fraser Health,(604) 860-7735,1991,"English, French, Spanish, Tagalog, German",0,50,50,46,2,0,0.59,0.58
George Derby Centre,Fraser Health,Community Care & Assisted Living Act,7550 Cumberland St,Burnaby V3N3X5,Accredited,November 2019,(604) 521-2676,George Derby Care Society,(604) 521-2676,1989,"English, Punjabi, Hindi, Cantonese, Mandarin, Italian, Polish, Farsi, Croatian, French, Tagalog, Spanish, Portuguese",0,300,300,284,8,0,0.56,0.58
Glenwood Seniors Community,Fraser Health,Community Care & Assisted Living Act,1458 Glenwood Dr,Agassiz V0M1A3,Unknown,not available,(604) 796-9202,Park Place Seniors Living Inc.,(604) 796-9202,1910,"English, German, Dutch, Punjabi, Hindi, Tagalog, Japanese",8,36,44,37,0,0,0.58,0.58
Guildford Seniors Village,Fraser Health,Community Care & Assisted Living Act,14568 104a Ave.,Surrey V3R1R3,Accredited,February 2022,(604) 582-0808,Retirement Concepts,(604) 582-0808,2001,"Hindi, Punjabi, English, Korean, Spanish, Tagalog",38,63,101,98,0,0,0.60,0.58
Harmony Court Care Centre,Fraser Health,Community Care & Assisted Living Act,7195 Canada Way,Burnaby V5E3R7,Unknown,not available,(604) 527-3300,Age Care Investment Ltd.,(604) 527-3300,1976,"English, French, Thai, Greek, Cantonese, Persian, Mandarin, Hindi, Spanish, Italian, Vietnamese, Hungarian, Tagalog, Punjabi, Farsi, Patwah",0,55,55,7,24,0,0.55,0.58
Harmony Court Care Centre - Special Unit,Fraser Health,Community Care & Assisted Living Act,7195 Canada Way,Burnaby V5E3R7,Unknown,not available,(604) 527-3300,Age Care Investment Ltd.,(604) 527-3300,2011,"English, French, Thai, Greek, Cantonese, Persian, Mandarin, Hindi, Spanish, Italian, Vietnamese, Hungarian, Tagalog, Punjabi, Farsi, Patwah",0,25,25,25,0,0,0.44,0.58
Hawthorne Seniors Care Community,Fraser Health,Hospital Act,2111 Hawthorne Ave,Port Coquitlam V3C1W3,Unknown,not available,(604) 941-4051,Port Coquitlam Senior Citizens' Housing Society,(604) 468-5023,n/a,"English, Punjabi, Tagalog, Mandarin, Cantonese, Korean, Russian, Urdu, Romanian, Polish, French, Farsi, Arabic, German",0,131,131,115,8,0,0.59,0.58
Heritage Village,Fraser Health,Hospital Act,7525 Topaz Dr,Chilliwack V2R3C9,Accredited,October 2022,(604) 858-1833,Fraser Health,(604) 793-7131,1993,"English, Punjabi",0,100,100,64,12,3,0.57,0.58
Holyrood Manor,Fraser Health,Hospital Act,22710 Holyrood Ave,Maple Ridge V2X3E6,Accredited,May 2020,(604) 467-8831,Revera Long Term Care Inc.,(604) 467-8831 ext. 222,n/a,n/a,2,123,125,0,0,0,0.61,0.58
Hilton Villa Seniors Community,Fraser Health,Community Care & Assisted Living Act,13525 Hilton Rd,Surrey V3R5J3,Accredited,July 2022,(604) 588-3424,Park Place Seniors Living Inc.,(604) 588-3424x109,1974,"English, Tagalog, Punjabi, Hindi",3,154,157,83,36,0,0.59,0.58
Hogg and Weatherby Pavilions - Peace Arch Hospital,Fraser Health,Hospital Act,15521 Russell Ave.,White Rock V4B2R4,Unknown,not available,(604) 541-5837,Fraser Health,(604) 541-7179 / (604) 538-4234,1987,"English, Tagalog, Punjabi, Hindi, Spanish, Farsi, Vietnamese, Korean, French, Spanish, Mandarin, Cantonese, Italian, Polish",0,234,234,30,78,12,0.57,0.58
Jackman Manor,Fraser Health,Community Care & Assisted Living Act,27477 28 Ave,Aldergrove V4W3L9,Not Accredited,not applicable,(604) 856-4161,Aldergrove Lions Seniors Housing Society,(604) 856-4161 ext.224,1982,"English, Tagalog, Punjabi, German, Spanish",0,88,88,88,0,0,0.54,0.58
Jubilee Multi Generational Housing Society,Fraser Health,Community Care & Assisted Living Act,3460 Kalyk Avenue,Burnaby V5G3B2,Not Accredited,not applicable,(604) 434-2666,Jubilee Multi Generational Housing Society,(604) 434-2666,1975,"English, Finnish, Gujarati, Punjabi, Mandarin, Cantonese, Polish, Korean, Russian, Slovak, Hungarian, Hindi, Japanese, Swedish, Fijian, Tagalog",0,60,60,12,18,3,0.59,0.58
KinVillage West Court,Fraser Health,Community Care & Assisted Living Act,5410 10th Ave.,Delta V4M3X8,Accredited,2019,(604) 943-0155,KinVillage Association,(604) 943-0155x232,1980,English,0,100,100,100,0,0,0.57,0.58
Kinsmen Lodge,Fraser Health,Community Care & Assisted Living Act,9650 137A Street,Surrey V3T4H9,Accredited,September 2022,(604) 588-0445,Whalley & District Senior Citizens Housing Society,(604) 580-8010,1975,"English, French, Tagalog, Punjabi, Mandarin, Cantonese, Hindi, Urdu, Taiwanese, Korean, German, Romanian, Italian, Spanish, Polish, Slovak, Finnish",0,157,157,143,7,0,0.60,0.58
Kiwanis Care Centre,Fraser Health,Community Care & Assisted Living Act,35 Clute Street,New Westminster V3L1Z5,Accredited,October 2020,(604) 525-6471,Kiwanis Care Society,(604) 525-6471x333,1982,"English, Tagalog, Spanish, Korean, Cantonese, Mandarin, Greek, Romanian, Cambodian, Gujarati, Slovene, Hindi, Punjabi, Serbian, Bengali, Polish, Russian, Italian",0,75,75,59,8,0,0.65,0.58
Lakeshore Care Centre,Fraser Health,Hospital Act,657 Gatensbury Street,Coquitlam V3J5G9,Not Accredited,not applicable,(604) 939-9277,The Care Group,(604) 939-9277x103,n/a,"Filipino, English, Korean, Greek, Punjabi, Persian",21,35,56,42,7,0,0.60,0.58
Langley Lodge,Fraser Health,Community Care & Assisted Living Act,5451-204th St,Langley V3A5M9,Accredited,May 2020,(604) 530-2305,Langley Care Society,(604) 532-4216 / (604) 532-4212,1974,"Punjabi, Hindi, Mandarin, Tagalog, Polish, Ukranian, Cantonese, Dutch, Spanish, Romanian, Tamil",14,125,139,127,6,0,0.57,0.58
Langley Gardens,Fraser Health,Community Care & Assisted Living Act,8888 202nd Street,Langley V1M4A7,Accredited,November 2021,(604) 888-0228,Chartwell Retirement Residences,(604) 881-8107,2008,"English, Tagalog, Spanish, Punjabi, Hindi, Polish, Thai",19,73,92,86,6,0,0.58,0.58
Langley Memorial Hospital ECU,Fraser Health,Hospital Act,22051 Fraser Hwy,Langley V3A4H4,Unknown,not available,(604) 514-6026,Fraser Health,(604) 514-6190,n/a,"English, Punjabi, Hindi, Hungarian",0,230,230,8,4,44,0.57,0.58
Laurel Place,Fraser Health,Community Care & Assisted Living Act,9688 137A St,Surrey V3T4H9,Accredited,January 2022,(604) 582-6336,Lark Care (Laurel) Operations Ltd,(604) 582-6336 ext. 1163,2008,"English, Hindi, Punjabi, Filipino, Korean, Cantonese, Mandarin, Italian, Spanish, Arabic, French, Greek",13,202,215,207,4,0,0.60,0.58
MSA Manor,Fraser Health,Community Care & Assisted Living Act,2510 Gladwin Rd,Abbotsford V2T3N9,Accredited,2022,(604) 853-5831,Maplewood Care Society,(604) 870-7560,1973,"English, Punjabi, Hindi, Tagalog",0,34,34,34,0,0,0.58,0.58
Maple Ridge Seniors Village,Fraser Health,Community Care & Assisted Living Act,22141 - 119th Avenue,Maple Ridge V2X2Y7,Accredited,February 2022,(604) 466-3053,Retirement Concepts,(604) 476-4312,2009,"English, French, Italian, Portuguese, Spanish, Filipino, German",18,90,108,108,0,0,0.57,0.58
Maplewood House,Fraser Health,Community Care & Assisted Living Act,1919 Jackson St.,Abbotsford V2S2Z8,Accredited,November 2022,(604) 853-5585,Maplewood Care Society,(604) 870-7560,1989,"English, Punjabi, Hindi, Tagalog",0,78,78,78,0,0,0.60,0.58
Menno Home,Fraser Health,Community Care & Assisted Living Act,32910 Brundige Ave,Abbotsford V2S1N2,Accredited,October 2021,(604) 853 -2411,Mennonite Benevolent Society,(604) 859-7631,1954,English,0,196,196,186,5,0,0.56,0.58
Menno Hospital,Fraser Health,Hospital Act,32945 Marshall Road,Abbotsford V2S1K1,Accredited,October 2021,(604) 859-7631,Mennonite Benevolent Society,(604) 859-7631,1960,English,0,151,151,59,43,2,0.59,0.58
Morgan Place,Fraser Health,Community Care & Assisted Living Act,3288 156a St,Surrey V3Z9T1,Accredited,May 2021,(604) 535-7328,Ahmon Group,(604) 535-7328,2001,"Punjabi, Spanish, Korean, Filipino, English, Mandarin, Cantonese",13,128,141,111,5,0,0.60,0.58
Mountain View Manor - Delta Hospital,Fraser Health,Hospital Act,5800 Mountain View Boulevard,Delta V4K3V6,Unknown,not available,(604) 940-3416 ext. 787340,Fraser Health,(604) 946-1121 x.783299,n/a,"Portuguese, English, Italian, Mandarin, Cantonese, Punjabi, German, Dutch, Tagalog",0,92,92,12,4,18,0.58,0.58
Normanna Rest Home,Fraser Health,Community Care & Assisted Living Act,7725-4th St,Burnaby V3N5B6,Unknown,not available,(604) 522-5812,Norwegian Old Peoples Association,(604) 515-3330,2000,"Filipino, Punjabi, Mandarin, Cantonese, English, Gujarati, Hindi, Polish, Swahili",0,100,100,90,5,0,0.60,0.58
Nicola Lodge,Fraser Health,Community Care & Assisted Living Act,2240 Hawkins St.,Port Coquitlam V3B0M2,Unknown,not available,(604) 945-0058,Sienna Senior Living,n/a,2016,n/a,18,212,230,0,0,0,0.58,0.58
New Vista Care Home,Fraser Health,Community Care & Assisted Living Act,7550 Rosewood Street,Burnaby V5E3Z3,Accredited,October 2021,(604) 521-7764,New Vista Society,(604) 521-7765 x 1155,1975,"English, Cantonese, Tagalog, Polish, Russian, Romanian, Punjabi, Hindi, French, German, Hungarian, Japanese",0,236,236,236,0,0,0.52,0.58
Northcrest Care Centre,Fraser Health,Community Care & Assisted Living Act,6771-120th Street,Delta V4E2A7,Accredited,May 2022,(604) 597-7878,Northcrest Care Centre Ltd.,(604) 597-7878x222,1994,"English, Punjabi, Hindi, Fiji, Japanese, Mandarin, Taiwanese, Swahili, Tagalog, Creol, Mandalayam, Tamil, Urdu, Vietnamese, Cantonese",0,106,106,90,8,0,0.58,0.58
Peace Portal Seniors Village,Fraser Health,Community Care & Assisted Living Act,15441 - 16th Avenue,Surrey V4A8T8,Accredited,February 2022,(604) 535-2273,Retirement Concepts,n/a,1986,n/a,57,27,84,67,7,0,0.53,0.58
Queen's Park Care Centre,Fraser Health,Hospital Act,315 McBride Blvd.,New Westminster V3L5E8,Unknown,not available,(604) 520-0911,Fraser Health,(604) 517-8694 / (604) 517-8612/(604) 517-8682/(604) 517-8670,1977,"English, Tagalog, Punjabi, Cantonese, Spanish, Romanian, German",0,148,148,14,2,32,0.58,0.58
Rosemary Heights Seniors Village,Fraser Health,Community Care & Assisted Living Act,15240-34th Avenue,Surrey V3Z2J9,Accredited,February 2022,(778) 545-5000,Retirement Concepts,(778) 545-5001,2008,"English, Punjabi, Tagalog, Spanish",5,85,90,85,2,0,0.56,0.58
Royal City Manor,Fraser Health,Community Care & Assisted Living Act,77 Jamieson Court,New Westminster V3L5P8,Accredited,May 2020,(604) 522-6699,AXR Operating (BC) LP Inc.,(604) 522-6699,1999,"English, Punjabi, Cantonese, Mandarin, Tagalog, Polish, Hungarian",115,50,165,125,21,0,0.58,0.58
St. Michael's Centre,Fraser Health,Hospital Act,7451 Sussex Avenue,Burnaby V5J5C2,Not Accredited,not applicable,(604)-434-1323,St. Michael's Centre Hospital Society,(604) 412-2185,1981,"Farsi, Urdu, Hindi, Punjabi, Sindhi, Mandarin, Spanish, Cantonese, Polish, English",0,144,144,20,36,9,0.63,0.58
Suncreek Village,Fraser Health,Community Care & Assisted Living Act,13687 62nd Avenue,Surrey V3X0B5,Unknown,not available,(604) 591-5177,Daljit Gill,(504) 591-5177 ext. 103,2009,English,14,120,134,120,0,0,0.59,0.58
Tabor Home,Fraser Health,Community Care & Assisted Living Act,31944 Sunrise Cres,Abbotsford V2T1N5,Unknown,not available,(604) 859-8715,Tabor Home Society,(604) 859-8715x102,1960,"Hungarian, English, French, Dutch, German, Low German, Punjabi",0,118,118,106,6,0,0.57,0.58
The Cascades Care Community,Fraser Health,Community Care & Assisted Living Act,45586 Mcintosh Drive,Chilliwack V2P7W8,Unknown,not available,(604) 795-2500,Sienna Senior Living,(604) 795-7297 / (604) 795-2500,2006,"English, Dutch",13,106,119,101,9,0,0.60,0.58
The Mayfair,Fraser Health,Community Care & Assisted Living Act,33433 Marshall Road,Abbotsford V2S1K8,Not Accredited,not applicable,(604) 855-7217,The Care Group,(604) 855-7217 x 102,2015,"English, Tagalog, German, Punjabi",30,61,91,80,2,0,0.56,0.58
The Madison Care Centre,Fraser Health,Hospital Act,1399 Foster Avenue,Coquitlam V3J2N1,Not Accredited,not applicable,(604) 936-9231,The Care Group,(604) 936-9231x5,2008,"Tagalog, Romanian, Spanish, Russian, English, Punjabi, Mandarin, Cantonese",41,96,137,128,9,0,0.55,0.58
The Residence at Clayton Heights,Fraser Health,Community Care & Assisted Living Act,18788 71st Avenue,Surrey V4N6L9,Not Accredited,not applicable,(604) 576-2273,The Pinnacle Care Group,(604) 576-2273 x 102,2012,"English, German, Fijian, Hindi, Punjabi, Tagalog, Vietnamese, Mandarin, Cantonese",0,87,87,87,0,0,0.57,0.58
The Residence in Mission,Fraser Health,Community Care & Assisted Living Act,7324 Hurd Street,Mission V2V3H5,Unknown,not available,(604) 814-6707,Fraser Health,(604) 814-6707,2014,"English, Spanish, Austrian German, German, Dutch, Punjabi, Hindi",0,200,200,190,5,0,0.57,0.58
The Residence at Morgan Heights,Fraser Health,Community Care & Assisted Living Act,15955 27th Avenue,Surrey V3Z3W3,Not Accredited,not applicable,(604) 535-1118,Morgan Heights Care Ltd,(604) 535-1118,2009,"English, Punjabi, Italian, Tagalog",26,90,116,108,4,0,0.56,0.58
Valhaven Rest Home,Fraser Health,Community Care & Assisted Living Act,4212 Balmoral St,Abbotsford V4X1Y5,Accredited,April 2022,(604) 856-2812,Tabor Home Society,(604) 859-8715 x102,1969,"English, Thai, German, Punjabi, French",4,22,26,26,0,0,0.62,0.58
Valleyhaven,Fraser Health,Community Care & Assisted Living Act,45450 Menholm Rd.,Chilliwack V2P1M2,Accredited,November 2022,(604) 792-0037,Kaigo Senior Living Group,(604) 792-0037x102,2009,"English, German, Punjabi, Hindi",1,90,91,83,4,0,0.55,0.58
Waverly Seniors Village,Fraser Health,Community Care & Assisted Living Act,8445 Young Rd,Chilliwack V2P4P2,Accredited,February 2022,(604) 792-6340,Retirement Concepts,(604) 703-2103,1989,"English, Punjabi",22,31,53,51,1,0,0.60,0.58
West Shore Laylum,Fraser Health,Community Care & Assisted Living Act,4900 Central Ave,Delta V4K2G7,Not Accredited,not applicable,(604) 946-2822,First Canadian Management Corporation,(604) 240-8172,1973,"English, Tagalog, Malayan, Hindi, Punjabi, Cantonese, Korean, French",0,55,55,45,5,0,0.52,0.58
White Rock Seniors Village,Fraser Health,Community Care & Assisted Living Act,1183 Maple Street,White Rock V8B5K9,Accredited,February 2022,(604) 541-4663,Retirement Concepts,n/a,1984,n/a,11,60,71,59,6,0,0.57,0.58
William Rudd House,Fraser Health,Hospital Act,95 Blackberry Drive,New Westminster V3L5S7,Unknown,not available,(604) 517-8640,Fraser Health,(604) 517-8612,1995,"English, Tagalog",0,12,12,12,0,0,0.69,0.58
Willingdon Care Centre,Fraser Health,Hospital Act,4435 Grange St,Burnaby V5H1P4,Unknown,not available,(604) 433-2455,Willingdon Care Centre Ltd.,(604) 433-2455,1964,"English, Cantonese, Tagalog, Hindi, Punjabi, Tamil",0,95,95,10,23,10,0.56,0.58
Zion Park Manor,Fraser Health,Community Care & Assisted Living Act,5939-180th St,Surrey V3S4L2,Not Accredited,not applicable,(604) 576-2891,Lutheran Senior Citizens' Housing Society,(604) 575-2812,1971,"English, German, Dutch, Punjabi, Polish, French, Cantonese, Tagalog, Spanish, Russian",29,70,99,99,0,0,0.57,0.58
Acropolis Manor,Northern Health,Community Care & Assisted Living Act,1325 Summit Avenue,Prince Rupert V8J4C1,Accredited,June 2022,(250) 622-6400,Northern Health,(250) 622-6450,2009,"Filipino, Portuguese, Italian, Punjabi, Hindi, Tsimshianic, Cebuano, English",0,61,61,49,6,0,0.58,0.58
Birchview Residences,Northern Health,Community Care & Assisted Living Act,7780 Hart Highway,Prince George V2K3B3,Not Accredited,not applicable,(778) 415-9790,Birchview Residence Ltd.,(778) 415-9790,2016,"English, French",14,7,21,18,1,0,n/a,0.58
Bulkley Lodge,Northern Health,Community Care & Assisted Living Act,3668 11th Avenue,Smithers V0J2N0,Accredited,June 2022,(250) 847-4443,Northern Health,(250) 876-4543 / (250) 876-4548,1978,"English, Dutch, Polish",0,70,70,67,3,0,0.55,0.58
Chetwynd Hospital and Health Centre,Northern Health,Hospital Act,5500 Hospital road,Chetwynd V0C1J0,Accredited,June 2022,(250) 788-2236,Northern Health,(250) 788-7243,1971,"English, French, German, Hausa, Swahili, Kikuyu, Afrikaans, Tagalog, Visayan, Spanish",0,7,7,7,0,0,0.60,0.58
Dunrovin Park Lodge,Northern Health,Community Care & Assisted Living Act,900 St Laurent Avenue,Quesnel V2J3S3,Accredited,June 2022,(250) 985-5800,Northern Health,(250) 985-5624,2010,"English, Filipino, French, Punjabi",0,117,117,107,3,0,0.56,0.58
Fort Nelson Multi Level Unit,Northern Health,Hospital Act,5315 Liard St,Fort Nelson V0C1R0,Accredited,June 2022,(250) 774-8100,Northern Health,(250) 774-8100,1963,English,0,7,7,7,0,0,0.50,0.58
Gateway Lodge Residential Care,Northern Health,Community Care & Assisted Living Act,1488 20th Ave.,Prince George V2L0A5,Accredited,July 2022,(250) 645-6100,Northern Health,(250) 565-5566,2010,"French, Swahili, Kirundi, Chewa, Ukrainian, Hindi, German, Filipino, Malayan",0,120,120,120,0,0,0.55,0.58
Haida Gwaii Hospital and Health Centre,Northern Health,Hospital Act,3209 Oceanview Drive,Queen Charlotte V0T1S0,Accredited,June 2022,(250) 559-4900,Northern Health,n/a,1950,n/a,0,8,8,0,2,2,0.62,0.58
Houston Health Centre,Northern Health,Community Care & Assisted Living Act,3202 - 14th St,Houston V0J1Z0,Accredited,June 2022,(250) 845-2294,Northern Health,(250) 845-5950,2010,"English, Punjabi",0,6,6,6,0,0,0.56,0.58
Jubilee Lodge,Northern Health,Hospital Act,1475 Edmonton Street,Prince George V2M1S2,Accredited,June 2022,(250) 565-2286,Northern Health,(250) 565-2287,1979,"English, French, Filipino, Arabic, Punjabi, Malayalam",0,66,66,4,3,14,0.59,0.58
Mackenzie and District Hospital and Health Centre,Northern Health,Hospital Act,45 Centennial Drive,Mackenzie V0J2C0,Accredited,June 2022,(250) 997-3263,Northern Health,(250) 997-8500,2009,English,0,5,5,4,0,0,suppressed,0.58
McBride and District Hospital,Northern Health,Hospital Act,1136 5th Avenue,McBride V0J2E0,Accredited,June 2022,(250) 569-2251,Northern Health,(250) 569-7326,2001,"English, Hungarian, Ukrainian",0,9,9,7,1,0,0.59,0.58
